"","spp","trt","substrate","sample","year","stem.wt","roots.wt","leaves.wt","n.stem","c.stem","n.root","c.root","n.leaf","c.leaf","plant.lma","focal.lma","vcmax","jmax","d.13.C","chi","n.mg","p.mg"
"116","Solanum dulcamara","Natural","Reijerscamp","R I SD 4",2,2.3951,0.6866,0.8826,0.770871341,43.66856384,1.547424316,45.46865463,2.434280872,43.06965637,19.4683257,19.76492219,32.45708045,42.25540898,NA,NA,58.8,4.96
"117","Solanum dulcamara","Natural","Reijerscamp","R I SD 5",2,2.4216,2.0576,1.4568,0.593811035,43.99325943,1.330654979,38.70295715,1.338040352,41.29055405,30.05140539,30.90745732,25.66857602,55.97661641,23.4092882,0.841118947,58.8,4.96
"118","Solanum dulcamara","Natural","Reijerscamp","R I SD 6",2,2.353,1.2633,0.8563,0.762165427,44.03012085,1.488218784,40.85609818,2.285936117,41.59795761,21.39956013,NA,NA,NA,NA,NA,58.8,4.96
"119","Solanum dulcamara","Natural","Reijerscamp","R I SD 7",2,1.5877,1.1924,0.9867,0.759015441,43.54293823,1.562614799,41.32846451,1.740490198,41.43697357,22.6608302,24.08971342,33.49479823,62.57323745,24.00902042,0.867655771,58.8,4.96
"120","Solanum dulcamara","Natural","Reijerscamp","R I SD 8",2,1.6338,1.702,1.2325,0.608944774,43.98082352,1.446680069,38.9546814,1.427013755,41.06209183,23.03896082,24.22687758,25.77849742,50.09771834,23.94215227,0.864697003,58.8,4.96
"121","Solanum dulcamara","Natural","Reijerscamp","R I SD 9",2,1.9388,1.5558,1.3658,0.53200084,44.5775032,1.529748321,43.31025314,1.279956102,40.84417725,29.09298103,31.36882129,21.18487617,48.51240462,23.5128954,0.845703336,58.8,4.96
"122","Solanum dulcamara","Natural","Reijerscamp","R I SD 10",2,1.7701,0.8557,1.1611,0.511834919,44.52553177,1.575842023,45.29258347,1.303127527,40.35276031,25.27245355,25.77170325,15.75680682,30.17434062,23.97601612,0.866195404,58.8,4.96
"123","Solanum dulcamara","Natural","Reijerscamp","R I SD 11",2,2.72,1.5619,1.2383,0.542979538,45.02502441,1.457001925,40.21559143,1.531878948,41.07754898,21.22967999,23.45079745,23.05014516,42.97650461,23.81114747,0.85890033,58.8,4.96
"124","Holcus lanatus","Natural","Microp","M I HL 1",2,0.5516,1.4529,0.934,0.663251042,40.89413071,0.82652384,41.25311279,1.214185357,39.342659,17.6386735,17.6386735,14.94599528,30.97987656,26.39034141,0.973023956,38.25,3.38
"125","Holcus lanatus","Natural","Microp","M I HL 2",2,0.6251,1.388,1.0691,0.685273826,40.43396378,0.770667434,45.04769897,1.365276933,38.5599556,18.31679174,18.31679174,17.29312639,33.09518282,26.64559128,0.984318198,38.25,3.38
"126","Holcus lanatus","Natural","Microp","M I HL 3",2,1.0279,1.4698,1.3498,0.614857197,41.28258514,0.790951073,45.37044144,1.222476363,39.76316452,21.35304808,21.35304808,18.42786885,35.0524897,25.51919453,0.934477634,38.25,3.38
"127","Holcus lanatus","Natural","Microp","M I HL 4",2,0.7561,1.4089,0.951,0.671677411,40.51343536,0.857414603,43.58032227,1.407821536,39.20484161,18.12218748,18.12218748,15.54175949,35.7942156,NA,NA,38.25,3.38
"128","Holcus lanatus","Natural","Microp","M I HL 5",2,0.8254,1.0841,0.9466,0.57156986,41.10199738,0.731476486,44.46574783,1.363973141,39.75663376,18.90415005,18.90415005,14.37899848,27.53039199,25.46506229,0.932082402,38.25,3.38
"129","Holcus lanatus","Natural","Microp","M I HL 6",2,0.6815,1.3262,0.9139,0.706484973,40.57018661,0.676981091,45.28449631,1.398637533,39.29560852,17.89770023,17.89770023,16.92295569,39.35836352,25.63935213,0.939794342,38.25,3.38
"130","Holcus lanatus","Natural","Microp","M I HL 7",2,0.5629,2.1516,0.8719,0.734486997,40.7153511,0.759779871,45.41651917,1.480834246,39.17636871,19.41362491,19.41362491,13.46436178,27.13442581,26.53071313,0.979235094,38.25,3.38
"131","Solanum dulcamara","Natural","Microp","M I SD 1",2,1.2005,0.782,0.8642,0.683461964,43.66595078,1.396768212,43.99737167,1.048937917,41.53345108,24.68189257,33.05995295,20.89405674,42.81277483,23.68103743,0.853143249,38.25,3.38
"132","Solanum dulcamara","Natural","Microp","M I SD 2",2,1.1282,1.0169,0.9959,0.587726831,44.09131622,1.227177024,42.76812363,1.228862047,41.22649002,28.14983676,29.74860335,23.62134409,49.58933587,24.47364963,0.888214586,38.25,3.38
"133","Solanum dulcamara","Natural","Microp","M I SD 3",2,1.2414,0.6464,0.7895,0.51821363,44.05337143,1.41915822,43.31618118,1.237716913,41.62590408,26.60287775,29.17757417,19.44367819,44.24474245,23.95802567,0.865399366,38.25,3.38
"134","Solanum dulcamara","Natural","Microp","M I SD 4",2,1.1281,0.5539,0.689,0.484715253,43.90143967,1.280848742,43.71867371,1.311853528,41.03421402,22.13105175,28.79197221,21.57321828,47.1972215,24.58277011,0.893042925,38.25,3.38
"135","Solanum dulcamara","Natural","Microp","M I SD 5",2,1.6512,0.9865,1.0064,0.577213466,43.76061249,1.255898356,40.99859619,1.247407436,41.20161438,29.48275862,30.62364461,23.93780726,49.74780996,23.99824049,0.867178783,38.25,3.38
"136","Solanum dulcamara","Natural","Microp","M I SD 6",2,1.5606,0.9669,1.077,0.525277793,44.87282944,1.237820029,40.72537994,1.136224031,41.16757965,29.7801872,29.03811252,22.2611658,49.58678316,23.86510523,0.861287842,38.25,3.38
"137","Solanum dulcamara","Natural","Microp","M I SD 7",2,1.9654,0.8889,1.0456,0.432408541,43.94934845,1.354748726,42.61656189,1.247777104,41.38986969,25.09953106,30.27964139,18.98120818,36.27140054,24.21967512,0.876976775,38.25,3.38
